gene,mean_LPS,mean_Control,log2FC_LPS_vs_Control,pvalue,padj
Setd8,9.894413333333333,9.519406666666667,0.3750066666666658,0.0028571511504310153,0.7908908344199385
Klc2,3.9906166666666665,3.14035,0.8502666666666663,0.0029349048733647554,0.7908908344199385
Aoah,8.810836666666667,6.383483333333333,2.4273533333333335,0.00294616020972322,0.7908908344199385
Fut8,5.488223333333333,4.239223333333334,1.2489999999999988,0.0029494572102801617,0.7908908344199385
Nfkb1,7.4498999999999995,6.4230833333333335,1.026816666666666,0.00296772801315579,0.7908908344199385
Krtap1-3,2.2127733333333333,1.9981866666666666,0.2145866666666667,0.0030223123342036176,0.7908908344199385
Gm9507,4.512133333333334,3.7253866666666666,0.7867466666666671,0.0030272770051128187,0.7908908344199385
Ccdc88a,9.021503333333333,7.587683333333334,1.4338199999999999,0.0030291435194296505,0.7908908344199385
Dennd2c,3.3759099999999997,3.7707533333333334,-0.39484333333333366,0.0030585392764546147,0.7908908344199385
Mina,6.13972,5.098063333333333,1.0416566666666665,0.0031037669995928377,0.7908908344199385
Olfr115,1.84537,2.03563,-0.19025999999999987,0.0031168840897873337,0.7908908344199385
Gm885,8.634483333333334,7.869876666666666,0.7646066666666673,0.0031449503661251355,0.7908908344199385
Traf1,6.259063333333334,4.128423333333333,2.1306400000000005,0.003251879515175755,0.7956794244646228
Src,6.648623333333333,4.774856666666666,1.8737666666666675,0.0032896262659983266,0.7956794244646228
Nus1,8.28412,7.841313333333333,0.4428066666666668,0.0032997241848951976,0.7956794244646228
Ppp2r2a,6.914333333333334,6.367073333333333,0.5472600000000014,0.003311169959397869,0.7956794244646228
Calca,2.112106666666667,2.4831,-0.37099333333333284,0.0033474737795722914,0.7956794244646228
Pkp4,7.203333333333333,6.337940000000001,0.8653933333333326,0.003357705828538072,0.7956794244646228
6330503K22Rik,4.509093333333333,3.9995366666666663,0.5095566666666671,0.003431923628367969,0.8013854442691011
Rtn2,3.314386666666666,2.293893333333333,1.020493333333333,0.0034771893433690423,0.8013854442691011
Taf7,3.7004933333333336,3.1473099999999996,0.553183333333334,0.003554709116024894,0.8013854442691011
Cd80,5.8854,4.227703333333333,1.6576966666666664,0.003563793150855961,0.8013854442691011
Dusp16,5.942726666666666,4.839173333333334,1.1035533333333323,0.003566050938230896,0.8013854442691011
Irf1,5.642316666666666,4.52668,1.1156366666666662,0.003598808859227219,0.8013854442691011
Nudt19,5.35717,5.69952,-0.3423499999999997,0.003750452785799028,0.8013854442691011
Hivep1,6.272716666666668,5.420086666666667,0.8526300000000004,0.003773032607217445,0.8013854442691011
