Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,CBM,VBM
mp-861852,Zn5Co19O32,Trigonal,R3m,160,56,0,-1.44944,TRUE,544.65991,5.97178,0,FALSE,TRUE,FM,8.9998,,
mp-1188863,Zn5Cl2O9,Trigonal,R-3m,166,16,0.63596,-0.62395,FALSE,242.53587,3.71047,0,FALSE,TRUE,FM,9.99992,,
mp-1212534,Gd3Zn5Ge,Hexagonal,P-62m,189,9,0.08007,-0.40602,FALSE,186.78905,7.74698,0,FALSE,TRUE,FM,21.98758,,
mp-1196499,Ba20Zn5Hg99,Cubic,F-43m,216,124,0.011,-0.29009,FALSE,3538.58318,10.76122,0.0608,TRUE,FALSE,NM,2.1867,2.5365,2.4757
mp-1192836,Er4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.53484,TRUE,602.10996,7.89809,0.0208,TRUE,FALSE,NM,0.00098,4.6856,4.6648
mp-1193486,Ho4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.53818,TRUE,601.53443,7.85422,0.0043,FALSE,FALSE,NM,0.08093,3.8073,3.803
mp-1194035,Dy4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.54926,TRUE,608.19141,7.71517,0,FALSE,TRUE,NM,0.00248,4.6879,4.7076
mp-1194159,Y4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.55219,TRUE,609.72074,6.09239,0.0297,FALSE,FALSE,NM,0.00293,4.7873,4.7576
mp-16189,Tm4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.52036,TRUE,576.25627,8.29106,0,FALSE,TRUE,NM,0,4.7271,4.7481
mp-16190,Lu4Zn5Ge6,Orthorhombic,Cmc2_1,36,30,0,-0.49528,TRUE,585.54985,8.29633,0,FALSE,TRUE,NM,0.00112,4.743,4.765
